2014-09-09 20:41:34    remove .sass-cache/ 
2014-09-09 20:41:34    create ../css/ie.css 
2014-09-09 20:41:34    create ../css/print.css 
2014-09-09 20:41:34    create ../css/screen.css 
2014-09-09 20:43:17     error sass/index.sass (Line 1: Invalid CSS after "/": expected identifier, was " @import compass")
2014-09-09 20:43:17 overwrite ../css/index.css 
2014-09-09 20:44:42     error sass/index.sass (Line 1: Invalid CSS after "/": expected identifier, was " @import compass")
2014-09-09 20:44:42 overwrite ../css/index.css 
2014-09-09 20:44:57 overwrite ../css/index.css 
2014-09-09 20:45:11 identical ../css/index.css 
2014-09-09 20:46:07 identical ../css/index.css 
2014-09-09 20:47:32 identical ../css/index.css 
2014-09-09 20:48:02 overwrite ../css/index.css 
2014-09-10 15:57:55 overwrite ../css/index.css 
2014-09-10 16:09:52    create ../css/geocoder.css 
2014-09-10 16:10:33 overwrite ../css/geocoder.css 
2014-09-10 16:19:56 identical ../css/geocoder.css 
2014-09-10 16:20:06 overwrite ../css/geocoder.css 
2014-09-10 16:20:15 overwrite ../css/geocoder.css 
2014-09-10 16:21:02 overwrite ../css/geocoder.css 
2014-09-10 16:21:36 overwrite ../css/geocoder.css 
2014-09-10 16:22:10 overwrite ../css/geocoder.css 
2014-09-10 16:22:18 overwrite ../css/geocoder.css 
2014-09-10 16:22:32 overwrite ../css/geocoder.css 
2014-09-10 16:22:56 overwrite ../css/geocoder.css 
2014-09-10 16:23:13 overwrite ../css/geocoder.css 
2014-09-10 16:23:24 overwrite ../css/geocoder.css 
2014-09-10 16:23:34 overwrite ../css/geocoder.css 
2014-09-10 16:23:45 overwrite ../css/geocoder.css 
2014-09-10 16:24:15 overwrite ../css/geocoder.css 
2014-09-10 16:24:29 overwrite ../css/geocoder.css 
2014-09-10 16:28:36 overwrite ../css/geocoder.css 
2014-09-10 16:28:55 overwrite ../css/geocoder.css 
2014-09-10 16:29:13 overwrite ../css/geocoder.css 
2014-09-10 16:29:47 overwrite ../css/geocoder.css 
2014-09-10 16:34:12 overwrite ../css/geocoder.css 
2014-09-10 16:34:25 identical ../css/geocoder.css 
2014-09-10 16:34:40 overwrite ../css/geocoder.css 
2014-09-10 16:35:00 overwrite ../css/geocoder.css 
2014-09-10 16:41:54 overwrite ../css/geocoder.css 
2014-09-10 16:43:19 overwrite ../css/geocoder.css 
2014-09-10 16:43:31 overwrite ../css/geocoder.css 
2014-09-10 16:43:46 overwrite ../css/geocoder.css 
2014-09-10 16:43:57 overwrite ../css/geocoder.css 
2014-09-10 16:44:09 overwrite ../css/geocoder.css 
2014-09-10 16:44:16 overwrite ../css/geocoder.css 
2014-09-10 16:44:24 overwrite ../css/geocoder.css 
2014-09-10 16:44:46 overwrite ../css/geocoder.css 
2014-09-10 16:44:53 overwrite ../css/geocoder.css 
2014-09-10 16:45:02 overwrite ../css/geocoder.css 
2014-09-10 16:45:26 overwrite ../css/geocoder.css 
2014-09-10 16:45:40 overwrite ../css/geocoder.css 
